Instance,Best dual bound,Best primal bound,Gap (%)
1-30-60-10-1,1984227,1992486,0.41450730394090307
1-30-60-10-2,1216030,1216030,0.0
1-30-60-10-3,1100903,1100903,0.0
1-30-60-20-1,1261381,1289983,2.217238521747966
1-30-60-20-2,1813402,1928629,5.974554981803138
1-30-60-20-3,2203140,2203140,0.0
1-30-60-30-1,1358049,1390585,2.3397347159648585
1-30-60-30-2,2046683,2067926,1.0272611302338697
1-30-60-30-3,1688342,1688342,0.0
1-30-60-40-1,1573876,1626296,3.2232754676885356
1-30-60-40-2,2470471,2470471,0.0
1-30-60-40-3,1869399,1926253,2.9515333655547815
1-30-60-50-1,1412702,1438469,1.7912794783898733
1-30-60-50-2,1801360,1893513,4.86677408605064
1-30-60-50-3,1931166,1963747,1.6591241132386192
1-30-90-10-1,4462161,4462161,0.0
1-30-90-10-2,1097444,1126304,2.5623632695968457
1-30-90-10-3,2603141,2673326,2.6253812666318987
1-30-90-20-1,1186782,1186782,0.0
1-30-90-20-2,2632545,2639562,0.2658395597451402
1-30-90-20-3,2309108,2309108,0.0
1-30-90-30-1,3231072,3231072,0.0
1-30-90-30-2,3575822,3580949,0.14317433730556273
1-30-90-30-3,1143213,1143213,0.0
1-30-90-40-1,1635921,1718136,4.785127603402762
1-30-90-40-2,2409087,2448461,1.6081121978254953
1-30-90-40-3,2106459,2126858,0.9591143367352228
1-30-90-50-1,2860767,2860767,0.0
1-30-90-50-2,3592520,3689845,2.6376446707111034
1-30-90-50-3,3651092,3779094,3.3871081269743475
1-30-120-10-1,2456323,2501142,1.7919414411496803
1-30-120-10-2,2446831,2487345,1.6288050109655061
1-30-120-10-3,3175468,3270985,2.9201295634189717
1-30-120-20-1,2182701,2219613,1.6629926027645348
1-30-120-20-2,3385391,3387338,0.05747876356005932
1-30-120-20-3,3549580,3647788,2.692261721350031
1-30-120-30-1,5913602,5920838,0.12221243006479421
1-30-120-30-2,3305683,3363957,1.7323051394533273
1-30-120-30-3,2980699,3002676,0.7319137995574598
1-30-120-40-1,3467684,3575242,3.008411738282335
1-30-120-40-2,4443345,4793933,7.313160196439961
1-30-120-40-3,2749435,2812463,2.241025037484934
1-30-120-50-1,2802660,2857611,1.9229699213783813
1-30-120-50-2,2354575,2461216,4.33285822942806
1-30-120-50-3,4842603,4940433,1.980190805137927
1-30-150-10-1,2863246,2889567,0.9108977227383908
1-30-150-10-2,3261119,3287862,0.813385719960269
1-30-150-10-3,3189131,3262752,2.25640808740597
1-30-150-20-1,7846981,7849123,0.02728967299913121
1-30-150-20-2,7423777,7641183,2.8451877150435956
1-30-150-20-3,4171022,4380903,4.790815957349437
1-30-150-30-1,5460010,5460010,0.0
1-30-150-30-2,6740526,6965998,3.236750857522497
1-30-150-30-3,3953792,4155668,4.857847161996576
1-30-150-40-1,5004439,5006794,0.04703608736449372
1-30-150-40-2,1894282,1894282,0.0
1-30-150-40-3,3184527,3306138,3.6783401055854315
1-30-150-50-1,5647050,5703571,0.990975653673809
1-30-150-50-2,3659109,3709120,1.3483252092140408
1-30-150-50-3,5096295,5619437,9.30950911986379
1-30-180-10-1,8875997,8876976,0.01102853043648544
1-30-180-10-2,4172598,4246472,1.7396558837547982
1-30-180-10-3,7004640,7033307,0.40758920377000907
1-30-180-20-1,2222186,2265387,1.907003086006942
1-30-180-20-2,6759712,6913475,2.2241058223252397
1-30-180-20-3,5805554,6109583,4.976264337516978
1-30-180-30-1,6432954,6432954,0.0
1-30-180-30-2,6637261,6888687,3.6498392219010634
1-30-180-30-3,3325918,3461183,3.9080568695732065
1-30-180-40-1,2443918,2527392,3.3027721857155523
1-30-180-40-2,7048688,7326606,3.7932707177102176
1-30-180-40-3,7647763,8112960,5.733998441998978
1-30-180-50-1,11922410,11922410,0.0
1-30-180-50-2,6490388,6851479,5.270263544557318
1-30-180-50-3,5549718,5848509,5.108840560901928
1-60-60-10-1,3460714,3588979,3.573857634720068
1-60-60-10-2,3900842,4092132,4.674580389879901
1-60-60-10-3,2726415,2726415,0.0
1-60-60-20-1,3541953,3886494,8.865085086970414
1-60-60-20-2,3509225,3585142,2.11754513489284
1-60-60-20-3,3102863,3102863,0.0
1-60-60-30-1,3708922,3731239,0.5981123160430091
1-60-60-30-2,2135733,2212715,3.4790743498371857
1-60-60-30-3,2249829,2249829,0.0
1-60-60-40-1,2741903,2918426,6.048568646249731
1-60-60-40-2,3111719,3111719,0.0
1-60-60-40-3,2564565,2704232,5.164756574140084
1-60-60-50-1,4152802,4152802,0.0
1-60-60-50-2,1650330,1650330,0.0
1-60-60-50-3,2767065,2767065,0.0
1-60-90-10-1,4207022,4365258,3.6248945652238684
1-60-90-10-2,4847324,4888976,0.8519575469382534
1-60-90-10-3,7860167,8439098,6.860105191336796
1-60-90-20-1,6898473,7001496,1.4714426745369824
1-60-90-20-2,3098466,3267939,5.185929113119925
1-60-90-20-3,3203012,3222969,0.6192116647724455
1-60-90-30-1,2963954,3202300,7.442962870436876
1-60-90-30-2,4855241,4932150,1.559340247153873
1-60-90-30-3,3471832,3493935,0.6326105093540701
1-60-90-40-1,2861649,2861649,0.0
1-60-90-40-2,2921565,3090831,5.476391300591976
1-60-90-40-3,3437318,3569914,3.7142631447144137
1-60-90-50-1,2812520,2901904,3.080184596044533
1-60-90-50-2,3180749,3311974,3.9621385916676854
1-60-90-50-3,9632649,9658802,0.27076856943542005
1-60-120-10-1,2895563,3051492,5.109926553961142
1-60-120-10-2,6629092,6828818,2.924752131335173
1-60-120-10-3,12198153,12304848,0.8670972611770633
1-60-120-20-1,9934875,9975633,0.4085755761062959
1-60-120-20-2,4336665,4439202,2.3098070328856357
1-60-120-20-3,5854552,6044700,3.1456978840968097
1-60-120-30-1,4513034,4595432,1.79304143767115
1-60-120-30-2,8316675,8498867,2.143721039522095
1-60-120-30-3,5981244,6233488,4.046594779680335
1-60-120-40-1,3734573,3820068,2.238049165616951
1-60-120-40-2,4180518,4212504,0.7593108516929625
1-60-120-40-3,3362370,3362370,0.0
1-60-120-50-1,5489260,5550056,1.095412370613913
1-60-120-50-2,2495912,2495912,0.0
1-60-120-50-3,6324956,6525836,3.0782262992818055
1-60-150-10-1,9218699,9278016,0.6393284943677635
1-60-150-10-2,14135938,14203390,0.4749007103233782
1-60-150-10-3,10926811,11083367,1.4125310476500452
1-60-150-20-1,9712289,9806712,0.9628405524705896
1-60-150-20-2,15679143,16160895,2.9809735166276385
1-60-150-20-3,15689040,15701740,0.08088275566912051
1-60-150-30-1,7043845,7136358,1.2963615334320444
1-60-150-30-2,5795888,5978303,3.0512839513152867
1-60-150-30-3,8718845,9503041,8.252053211177346
1-60-150-40-1,9370287,9434197,0.6774291442080305
1-60-150-40-2,10643846,10951429,2.8086106388490517
1-60-150-40-3,9502251,10069709,5.635296908778598
1-60-150-50-1,10932017,11012690,0.7325458175976962
1-60-150-50-2,5232904,5469195,4.320398157315653
1-60-150-50-3,10079797,10779088,6.487478346962194
1-60-180-10-1,16629238,16656322,0.16260492562523154
1-60-180-10-2,13828347,14172584,2.4288937006829547
1-60-180-10-3,12055582,12405518,2.820809256010104
1-60-180-20-1,9569966,9571598,0.01705044445033943
1-60-180-20-2,13263771,13909915,4.645204517784618
1-60-180-20-3,11463141,11828944,3.092440035222077
1-60-180-30-1,11811822,11894046,0.691303867498072
1-60-180-30-2,11820665,12134167,2.58363017420149
1-60-180-30-3,6049634,6204843,2.5014170382715584
1-60-180-40-1,3768253,3869149,2.6077052085613617
1-60-180-40-2,7432050,7620831,2.4771707967280787
1-60-180-40-3,8957417,9396690,4.6747631346782725
1-60-180-50-1,16954639,16969937,0.09014765346506692
1-60-180-50-2,15529963,16199504,4.1330956799665035
1-60-180-50-3,4340614,4640513,6.46262600708154
1-90-60-10-1,7730645,7730645,0.0
1-90-60-10-2,3159914,3159914,0.0
1-90-60-10-3,5086252,5257086,3.249594927684274
1-90-60-20-1,5894220,5964141,1.172356589155088
1-90-60-20-2,3785090,4042180,6.360181882053739
1-90-60-20-3,5060611,5181197,2.3273772450651875
1-90-60-30-1,4995765,5233492,4.542416421005324
1-90-60-30-2,3115107,3242930,3.94158985855384
1-90-60-30-3,4089828,4309836,5.104788210038613
1-90-60-40-1,4243427,4404547,3.658037932164193
1-90-60-40-2,3237751,3394577,4.619898149312862
1-90-60-40-3,2576844,2738212,5.893188693936047
1-90-60-50-1,3767185,3767185,0.0
1-90-60-50-2,3631103,3862219,5.984021102894477
1-90-60-50-3,3861494,3908637,1.206123771534684
1-90-90-10-1,3470933,3985055,12.901252303920518
1-90-90-10-2,9411888,9479829,0.7166901428285244
1-90-90-10-3,9508823,9734996,2.323298335202195
1-90-90-20-1,6450809,6450809,0.0
1-90-90-20-2,4238681,4238681,0.0
1-90-90-20-3,5756474,5827267,1.2148576682688428
1-90-90-30-1,4634517,4634517,0.0
1-90-90-30-2,5749872,5764416,0.2523065649668532
1-90-90-30-3,12997836,13232392,1.772589566572691
1-90-90-40-1,5304299,5405030,1.8636529306960359
1-90-90-40-2,6794566,6982415,2.6903155999750794
1-90-90-40-3,10557595,11043610,4.400870729770423
1-90-90-50-1,12346948,12353018,0.04913778964784621
1-90-90-50-2,6693636,6822499,1.8887947070420963
1-90-90-50-3,2833191,2868861,1.2433505840819703
1-90-120-10-1,13705021,13751473,0.33779654005064996
1-90-120-10-2,5680623,5964338,4.756856502766949
1-90-120-10-3,12240242,12506544,2.129301268200068
1-90-120-20-1,10022165,10192917,1.675202496007766
1-90-120-20-2,19355488,19619297,1.3446404323253835
1-90-120-20-3,11110640,11897245,6.611656732293902
1-90-120-30-1,15416233,15416233,0.0
1-90-120-30-2,8896365,9290833,4.245776455135941
1-90-120-30-3,4696761,4787529,1.8959258523551514
1-90-120-40-1,11294511,11577214,2.441891460242507
1-90-120-40-2,13259882,13964649,5.046793514108372
1-90-120-40-3,8456664,8643892,2.16601503119197
1-90-120-50-1,11136734,11323574,1.6500090872369477
1-90-120-50-2,17544938,18296734,4.108908180006332
1-90-120-50-3,9686535,10161526,4.6744061866298425
1-90-150-10-1,17299848,17341201,0.23846675902090553
1-90-150-10-2,16069018,16362254,1.7921491745574891
1-90-150-10-3,10497618,10809030,2.881035578585678
1-90-150-20-1,5156032,5300701,2.729242792604225
1-90-150-20-2,15112770,15461964,2.2584064999763287
1-90-150-20-3,19442873,19755865,1.5842991435707776
1-90-150-30-1,19623371,19719634,0.4881581473570984
1-90-150-30-2,13299837,14014160,5.097151737956462
1-90-150-30-3,5292882,5533285,4.3446704805554015
1-90-150-40-1,16351763,16535872,1.113391540524744
1-90-150-40-2,14916775,15565576,4.168178549897538
1-90-150-40-3,10021473,10904208,8.09536098357625
1-90-150-50-1,6856437,7069053,3.0077013144476306
1-90-150-50-2,11545716,12072236,4.36141241771616
1-90-150-50-3,18332809,18865933,2.8258554718709084
1-90-180-10-1,6085940,6140808,0.8934980543277016
1-90-180-10-2,20611671,21184797,2.7053646065147596
1-90-180-10-3,22476907,23395503,3.926378501030736
1-90-180-20-1,19184614,19184614,0.0
1-90-180-20-2,8820463,9259254,4.7389454917210365
1-90-180-20-3,8213014,8621735,4.74058875620742
1-90-180-30-1,16475708,16799515,1.9274782635093968
1-90-180-30-2,17364617,18278111,4.9977483997115435
1-90-180-30-3,7086191,7681226,7.746614928398154
1-90-180-40-1,19421086,19529969,0.5575175260134846
1-90-180-40-2,10530473,10749420,2.036826172947004
1-90-180-40-3,13056490,13960071,6.4726103470390655
1-90-180-50-1,18697188,18824670,0.6772070904828564
1-90-180-50-2,22710494,23786200,4.522395338473572
1-90-180-50-3,19694400,20647657,4.616780489912243
1-120-60-10-1,8331031,8741405,4.694600009952632
1-120-60-10-2,10710530,11070050,3.247681808121916
1-120-60-10-3,6333934,6333934,0.0
1-120-60-20-1,6096230,6248434,2.435874332672794
1-120-60-20-2,3573027,3573027,0.0
1-120-60-20-3,5914446,6000613,1.4359699584025831
1-120-60-30-1,7699872,7924055,2.8291449264297164
1-120-60-30-2,5632185,5809144,3.046214726300467
1-120-60-30-3,5766195,5766195,0.0
1-120-60-40-1,6277225,6327748,0.7984357152023169
1-120-60-40-2,9334093,10150374,8.041881018374298
1-120-60-40-3,8278230,8278230,0.0
1-120-60-50-1,4859850,4859850,0.0
1-120-60-50-2,2599176,2599176,0.0
1-120-60-50-3,3240215,3248926,0.2681193723710562
1-120-90-10-1,12303547,12490027,1.4930312000126178
1-120-90-10-2,6557811,7016709,6.540074556319775
1-120-90-10-3,11584264,11681173,0.8296170256189117
1-120-90-20-1,16643883,16667355,0.14082618387860624
1-120-90-20-2,4366653,4366653,0.0
1-120-90-20-3,12330539,12754901,3.327050519639474
1-120-90-30-1,9941010,10603296,6.246038967505951
1-120-90-30-2,13468812,13647815,1.3115872394225736
1-120-90-30-3,20682413,20895630,1.020390387846648
1-120-90-40-1,12363684,13006950,4.945556029661069
1-120-90-40-2,13328218,13745056,3.032639517801894
1-120-90-40-3,8206275,9036777,9.19024559309143
1-120-90-50-1,11179342,11316843,1.2150119958366457
1-120-90-50-2,11568157,12475391,7.272188903738563
