nEmployees: 30
nSkills: 2
nProjects: 1
nDays: 180
nActivities: 43
nEquipmentTypes: 3
nStints: 26
nMaxModes: 3
nStintCliques: 0

EmployeeInStintCost: [
14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 14171 12875 
14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 14895 13683 
14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 14823 13635 
16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 16511 15251 
16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 16331 15131 
13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 13891 12547 
23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 23555 22307 
3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 3888 2592 
13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 13059 11859 
21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 21275 19955 
13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 13927 12571 
7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 7928 6752 
14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 14187 12963 
13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 13423 12067 
19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 19719 18579 
13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 13591 12475 
13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 13775 12611 
12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 12431 11123 
21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 21423 20091 
12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 12539 11315 
3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 3780 2520 
12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 12503 11171 
13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 13847 12659 
20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 20915 19715 
12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 12811 11659 
21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 21243 19971 
21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 21023 19787 
12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 12323 11051 
14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 14475 13155 
16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 16223 15059 
]

ExternalWorkerWithSkillOnStintCost: [
13140 15000 16140 12600 15570 13980 15060 14250 17790 15120 17520 17550 14220 12780 12030 15300 12570 14880 15450 12930 15270 14340 14040 16680 13680 17070 
12480 14580 15210 15510 15360 12180 17550 16980 17970 14640 15240 14460 15030 13380 14910 15510 16080 13230 13050 13020 15570 15990 14430 13770 17520 12210 
]

OverlappingStints: [
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
[ ]
]

EmployeesWithSkill: [
[ 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 ]
[ 7 9 17 23 24 27 ]
]

SkillDemandInActivityWithMode: [
0	0	0	
1	3	1	
3	6	2	
6	10	4	
6	10	4	
2	4	2	
4	7	3	
4	7	3	
5	9	4	
6	10	4	
6	10	4	
4	7	3	
1	3	1	
3	6	2	
5	9	4	
2	4	2	
4	7	3	
4	7	3	
4	7	3	
6	10	4	
3	6	2	
4	7	3	
6	10	4	
6	10	4	
4	7	3	
6	10	4	
2	4	2	
6	10	4	
4	7	3	
4	7	3	
3	6	2	
2	4	2	
5	9	4	
2	4	2	
3	6	2	
2	4	2	
2	4	2	
4	7	3	
2	4	2	
6	10	4	
3	6	2	
3	6	2	
2	4	2	

0	0	0	
0	1	0	
0	1	0	
1	3	1	
1	3	1	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
1	3	1	
1	3	1	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
1	3	1	
0	1	0	
0	1	0	
1	3	1	
1	3	1	
0	1	0	
1	3	1	
0	1	0	
1	3	1	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
1	3	1	
0	1	0	
0	1	0	
0	1	0	

]

EmployeeAvailability: [
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 
1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 
1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 
1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 
1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
]

EmployeeWantedInStint: [ (9 3) 1 (9 11) 1 (10 10) 1 (10 21) 1 (15 10) 1 (15 22) 1 (18 2) 1 (18 7) 1 (19 10) 1 (21 7) 1 (23 8) 1 (29 2) 1 (30 11) 1 (30 21) 1 (30 26) 1 ]

EmployeeWantedViolationCost: [ (9 3) 5000 (9 11) 10000 (10 10) 10000 (10 21) 9000 (15 10) 7000 (15 22) 15000 (18 2) 9000 (18 7) 7000 (19 10) 13000 (21 7) 10000 (23 8) 13000 (29 2) 9000 (30 11) 12000 (30 21) 15000 (30 26) 6000 ]

EmployeesThatShouldNotWorkTogetherWithEmployee: [
[ 11 12 24 ]
[ 22 ]
[ 5 13 15 28 ]
[ 16 17 ]
[ 25 ]
[ ]
[ ]
[ ]
[ 19 ]
[ 14 ]
[ 27 ]
[ 22 ]
[ 22 ]
[ ]
[ 18 25 ]
[ ]
[ ]
[ ]
[ ]
[ 22 ]
[ ]
[ 25 ]
[ 27 ]
[ ]
[ ]
[ ]
[ 30 ]
[ ]
[ ]
[ ]
]

